ID;Kommentti;Mainepisteet
1468;par!si-ttu;4613
1469;¤%qwerty,.;-7594
1470;Hei, olen kommentti.;6067
1471;Hei, olen kommentti.;-4201
1472;Validi kommentti;-132
1473;-.4,56kom-m<entti5;2611
1474;-.4,56kom-m<entti5;-4347
1475;Validi kommentti;-16
1476;,,s.5,.(556;1174
1477;-.4,56kom-m<entti5;-6836
1478;par!si-ttu;4365
1479;<>!=();3635
1480;Validi kommentti;4201
1481;par!si-ttu;9087
1482;¤%qwerty,.;6825
1483;,,s.5,.(556;8638
1484;Validi kommentti;4568
1485;¤%qwerty,.;8422
1486;Hei, olen kommentti.;627
1487;par!si-ttu;7301
1488;Hei, olen kommentti.;2397
1489;Validi kommentti;-2042
1490;Validi kommentti;9552
1491;<>!=();-4607
1492;,,s.5,.(556;5597
1493;<>!=();-4096
1494;Hei, olen kommentti.;6116
1495;¤%qwerty,.;84
1496;Hei, olen kommentti.;3400
1497;Hei, olen kommentti.;8523
1498;Hei, olen kommentti.;6866
1499;par!si-ttu;2360
1500;,,s.5,.(556;-7174
1501;Validi kommentti;-3373
1502;Hei, olen kommentti.;6543
1503;Validi kommentti;-5467
1504;¤%qwerty,.;2498
1505;<>!=();-6304
1506;,,s.5,.(556;4138
1507;Hei, olen kommentti.;-6758
1508;-.4,56kom-m<entti5;-7045
1509;Hei, olen kommentti.;-284
1510;Hei, olen kommentti.;6050
1511;par!si-ttu;1452
1512;Validi kommentti;4888
1513;-.4,56kom-m<entti5;-6076
1514;-.4,56kom-m<entti5;6238
1515;par!si-ttu;8006
1516;par!si-ttu;2131
1517;par!si-ttu;-5077
1518;<>!=();5658
1519;,,s.5,.(556;4881
1520;-.4,56kom-m<entti5;-9992
1521;-.4,56kom-m<entti5;2947
1522;,,s.5,.(556;2094
1523;par!si-ttu;7923
1524;<>!=();7261
1525;par!si-ttu;4429
1526;par!si-ttu;-5912
1527;,,s.5,.(556;-2696
1528;Validi kommentti;2204
1529;par!si-ttu;-6385
1530;Hei, olen kommentti.;-4542
1531;¤%qwerty,.;-1154
1532;,,s.5,.(556;3639
1533;<>!=();-4365
1534;Validi kommentti;-8022
1535;¤%qwerty,.;7486
1536;-.4,56kom-m<entti5;9496
1537;Hei, olen kommentti.;2744
1538;Hei, olen kommentti.;773
1539;<>!=();-9248
1540;Hei, olen kommentti.;-9298
1541;par!si-ttu;1609
1542;<>!=();-3124
1543;¤%qwerty,.;-9124
1544;Hei, olen kommentti.;-1871
1545;,,s.5,.(556;2748
1546;par!si-ttu;8969
1547;¤%qwerty,.;-263
1548;Hei, olen kommentti.;-4446
1549;,,s.5,.(556;9307
1550;par!si-ttu;4832
1551;-.4,56kom-m<entti5;-1773
1552;<>!=();7714
1553;par!si-ttu;-2753
1554;Validi kommentti;-7242
1555;Validi kommentti;6500
1556;Validi kommentti;3816
1557;-.4,56kom-m<entti5;-5644
1558;-.4,56kom-m<entti5;-3162
1559;par!si-ttu;-9786
1560;¤%qwerty,.;-3677
1561;¤%qwerty,.;3064
1562;Hei, olen kommentti.;-7961
1563;¤%qwerty,.;6748
1564;-.4,56kom-m<entti5;2121
1565;<>!=();-8187
1566;-.4,56kom-m<entti5;978
1567;Hei, olen kommentti.;-5215
1568;¤%qwerty,.;-5294
1569;Validi kommentti;-9344
1570;-.4,56kom-m<entti5;1740
1571;-.4,56kom-m<entti5;-5432
1572;Validi kommentti;-5742
1573;,,s.5,.(556;3225
1574;,,s.5,.(556;4093
1575;-.4,56kom-m<entti5;2010
1576;Hei, olen kommentti.;4254
1577;<>!=();8328
1578;par!si-ttu;2149
1579;Validi kommentti;9724
1580;-.4,56kom-m<entti5;-9661
1581;<>!=();-4920
1582;¤%qwerty,.;2401
1583;,,s.5,.(556;-9647
1584;<>!=();-3322
1585;par!si-ttu;-7502
1586;¤%qwerty,.;478
1587;Validi kommentti;4481
1588;<>!=();-5498
1589;-.4,56kom-m<entti5;5673
1590;¤%qwerty,.;7615
1591;Hei, olen kommentti.;8828
1592;¤%qwerty,.;-7060
1593;,,s.5,.(556;1638
1594;par!si-ttu;-5335
1595;-.4,56kom-m<entti5;1240
1596;<>!=();9211
1597;<>!=();-2079
1598;¤%qwerty,.;7297
1599;par!si-ttu;-7402
1600;par!si-ttu;-8793
1601;Validi kommentti;-7558
1602;Validi kommentti;-2053
1603;Validi kommentti;5533
1604;<>!=();-3967
1605;Hei, olen kommentti.;-6465
1606;-.4,56kom-m<entti5;-2976
1607;¤%qwerty,.;-5596
1608;Validi kommentti;7496
1609;,,s.5,.(556;2410
1610;par!si-ttu;-4006
1611;Validi kommentti;5918
1612;,,s.5,.(556;-4136
1613;<>!=();-8421
1614;Hei, olen kommentti.;6366
1615;<>!=();4337
1616;Validi kommentti;-2933
1617;¤%qwerty,.;5653
1618;Validi kommentti;-9001
1619;Hei, olen kommentti.;5768
1620;<>!=();2982
1621;par!si-ttu;1781
1622;<>!=();-4837
1623;par!si-ttu;5601
1624;¤%qwerty,.;7681
1625;Hei, olen kommentti.;-9204
1626;par!si-ttu;6543
1627;Hei, olen kommentti.;2604
1628;Validi kommentti;7209
1629;<>!=();8636
1630;¤%qwerty,.;6268
1631;-.4,56kom-m<entti5;1827
1632;Hei, olen kommentti.;1219
1633;par!si-ttu;-4450
1634;,,s.5,.(556;9989
1635;Hei, olen kommentti.;-4528
1636;<>!=();-9609
1637;,,s.5,.(556;-549
1638;Validi kommentti;6674
1639;,,s.5,.(556;7988
1640;Hei, olen kommentti.;-3213
1641;,,s.5,.(556;-6841
1642;Hei, olen kommentti.;-498
1643;par!si-ttu;-8604
1644;-.4,56kom-m<entti5;2039
1645;,,s.5,.(556;6208
1646;Hei, olen kommentti.;-3834
1647;-.4,56kom-m<entti5;9759
1648;<>!=();430
1649;¤%qwerty,.;2052
1650;Validi kommentti;9373
1651;Hei, olen kommentti.;1495
1652;Hei, olen kommentti.;6806
1653;par!si-ttu;713
1654;¤%qwerty,.;4390
1655;Hei, olen kommentti.;4285
1656;-.4,56kom-m<entti5;-9565
1657;¤%qwerty,.;-3772
1658;<>!=();-204
1659;par!si-ttu;-8081
1660;<>!=();-4352
1661;¤%qwerty,.;8199
1662;¤%qwerty,.;7056
1663;Hei, olen kommentti.;9208
1664;-.4,56kom-m<entti5;-8022
1665;<>!=();-3571
1666;,,s.5,.(556;2141
1667;Hei, olen kommentti.;-8010
1668;par!si-ttu;-9290
1669;,,s.5,.(556;7124
1670;-.4,56kom-m<entti5;7696
1671;Hei, olen kommentti.;-7163
1672;Hei, olen kommentti.;7912
1673;Hei, olen kommentti.;423
1674;,,s.5,.(556;-2306
1675;<>!=();-3260
1676;,,s.5,.(556;3080
1677;par!si-ttu;-1271
1678;-.4,56kom-m<entti5;3542
1679;Validi kommentti;-6497
1680;<>!=();5384
1681;Hei, olen kommentti.;5787
1682;,,s.5,.(556;-5492
1683;¤%qwerty,.;5180
1684;par!si-ttu;2556
1685;Validi kommentti;1842
1686;par!si-ttu;-9838
1687;¤%qwerty,.;6946
1688;,,s.5,.(556;-2889
1689;¤%qwerty,.;-7313
1690;par!si-ttu;331
1691;Hei, olen kommentti.;-4161
1692;-.4,56kom-m<entti5;5973
1693;,,s.5,.(556;421
1694;<>!=();4898
1695;,,s.5,.(556;8518
1696;,,s.5,.(556;-6387
1697;,,s.5,.(556;-2515
1698;Validi kommentti;-3367
1699;,,s.5,.(556;-6353
1700;par!si-ttu;382
1701;Hei, olen kommentti.;4172
1702;-.4,56kom-m<entti5;592
1703;<>!=();-4361
1704;<>!=();5852
1705;,,s.5,.(556;2605
1706;,,s.5,.(556;-4370
1707;,,s.5,.(556;3236
1708;¤%qwerty,.;2878
1709;Hei, olen kommentti.;-3917
1710;-.4,56kom-m<entti5;-9463
1711;<>!=();5341
1712;¤%qwerty,.;-85
1713;-.4,56kom-m<entti5;9257
1714;Validi kommentti;6633
1715;,,s.5,.(556;-1393
1716;Hei, olen kommentti.;-2770
1717;Hei, olen kommentti.;-7503
1718;<>!=();-8834
1719;,,s.5,.(556;-7103
1720;¤%qwerty,.;-4179
1721;-.4,56kom-m<entti5;9001
1722;,,s.5,.(556;-5396
1723;par!si-ttu;-1245
1724;,,s.5,.(556;594
1725;<>!=();-498
1726;Hei, olen kommentti.;4288
1727;,,s.5,.(556;-5772
1728;par!si-ttu;48
1729;-.4,56kom-m<entti5;9090
1730;¤%qwerty,.;6001
1731;¤%qwerty,.;-319
1732;Hei, olen kommentti.;3158
1733;¤%qwerty,.;-7944
1734;¤%qwerty,.;6946
1735;Hei, olen kommentti.;-3653
1736;,,s.5,.(556;147
1737;Hei, olen kommentti.;7367
1738;¤%qwerty,.;9529
1739;-.4,56kom-m<entti5;415
1740;par!si-ttu;2577
1741;,,s.5,.(556;-589
1742;,,s.5,.(556;-6446
1743;par!si-ttu;6847
1744;¤%qwerty,.;3655
1745;Validi kommentti;-9767
1746;Validi kommentti;1562
1747;Validi kommentti;-4934
1748;par!si-ttu;1602
1749;Hei, olen kommentti.;-9412
1750;Hei, olen kommentti.;8287
1751;Hei, olen kommentti.;1150
1752;-.4,56kom-m<entti5;4371
1753;<>!=();4611
1754;Hei, olen kommentti.;-3382
1755;-.4,56kom-m<entti5;4131
1756;Hei, olen kommentti.;4778
1757;-.4,56kom-m<entti5;-8247
1758;Validi kommentti;-48
1759;<>!=();1661
1760;¤%qwerty,.;862
1761;par!si-ttu;-2362
1762;Validi kommentti;7410
1763;Hei, olen kommentti.;-6142
1764;¤%qwerty,.;-9257
1765;¤%qwerty,.;891
1766;Hei, olen kommentti.;2447
1767;par!si-ttu;-1149
1768;Hei, olen kommentti.;9813
1769;¤%qwerty,.;941
1770;Hei, olen kommentti.;-5031
1771;-.4,56kom-m<entti5;-3561
1772;-.4,56kom-m<entti5;4133
1773;<>!=();1687
1774;<>!=();-3166
1775;<>!=();4230
1776;¤%qwerty,.;8685
1777;Hei, olen kommentti.;9765
1778;-.4,56kom-m<entti5;-348
1779;par!si-ttu;4980
1780;,,s.5,.(556;2799
1781;Hei, olen kommentti.;1124
1782;par!si-ttu;3173
1783;¤%qwerty,.;9813
1784;Hei, olen kommentti.;8991
1785;,,s.5,.(556;9610
1786;,,s.5,.(556;-4395
1787;¤%qwerty,.;-8584
1788;-.4,56kom-m<entti5;-6706
1789;,,s.5,.(556;7330
1790;par!si-ttu;-8551
1791;¤%qwerty,.;7820
1792;<>!=();-2002
1793;,,s.5,.(556;-8817
1794;<>!=();-9582
1795;¤%qwerty,.;9776
1796;<>!=();-9492
1797;<>!=();-4971
1798;Hei, olen kommentti.;-2932
1799;,,s.5,.(556;-6398
1800;,,s.5,.(556;-4678
1
3419;<>!=();5856
3420;<>!=();1751
6501;¤%qwerty,.;8787
6502;¤%qwerty,.;-4688
6503;¤%qwerty,.;1408
6504;<>!=();3433
6505;,,s.5,.(556;5866
6506;par!si-ttu;3912
6507;-.4,56kom-m<entti5;3344
6508;¤%qwerty,.;-529
6509;par!si-ttu;3012
6510;par!si-ttu;-7314
6511;-.4,56kom-m<entti5;170
6512;-.4,56kom-m<entti5;1871
6513;,,s.5,.(556;983
6514;par!si-ttu;7315
6515;-.4,56kom-m<entti5;2241
6516;par!si-ttu;-9934
6517;Validi kommentti;-5063
6518;<>!=();7786
6519;-.4,56kom-m<entti5;-9991
6520;<>!=();-9503
6521;par!si-ttu;9899
6522;<>!=();-2947
6523;<>!=();-7675
6524;¤%qwerty,.;-7821
6525;,,s.5,.(556;9149
6526;,,s.5,.(556;-5579
6527;,,s.5,.(556;-5937
6528;¤%qwerty,.;-5791
6529;,,s.5,.(556;-2879
6530;Validi kommentti;-4498
6531;Hei, olen kommentti.;-4271
6532;-.4,56kom-m<entti5;-2893
6533;Validi kommentti;1987
6534;Validi kommentti;-6069
6535;¤%qwerty,.;4512
6536;,,s.5,.(556;7664
6537;Validi kommentti;-1006
6538;¤%qwerty,.;-9956
6539;,,s.5,.(556;-552
6540;Validi kommentti;917
6541;par!si-ttu;-6092
6542;<>!=();4989
6543;<>!=();7248
6544;Hei, olen kommentti.;-34
6545;-.4,56kom-m<entti5;6329
6546;¤%qwerty,.;-4462
6547;Validi kommentti;7113
6548;¤%qwerty,.;2041
6549;Hei, olen kommentti.;-4417
6550;par!si-ttu;6378
6551;par!si-ttu;2929
6552;<>!=();-6633
6553;,,s.5,.(556;-7573
6554;,,s.5,.(556;6485
6555;¤%qwerty,.;-7839
6556;,,s.5,.(556;-6743
6557;par!si-ttu;5276
6558;,,s.5,.(556;7757
6559;-.4,56kom-m<entti5;-3164
6560;-.4,56kom-m<entti5;-7798
6561;<>!=();-868
6562;par!si-ttu;-2540
6563;Validi kommentti;1963
6564;<>!=();4792
6565;Hei, olen kommentti.;-7012
6566;par!si-ttu;-4055
6567;-.4,56kom-m<entti5;-4818
6568;,,s.5,.(556;1289
6569;par!si-ttu;5850
6570;-.4,56kom-m<entti5;-6794
6571;<>!=();-9297
6572;Validi kommentti;7430
6573;<>!=();-5461
6574;Hei, olen kommentti.;-5517
6575;Hei, olen kommentti.;-6784
6576;,,s.5,.(556;-6312
6577;Validi kommentti;-2552
6578;par!si-ttu;-1628
6579;,,s.5,.(556;-6348
6580;,,s.5,.(556;1557
6581;-.4,56kom-m<entti5;8248
6582;<>!=();-9729
6583;,,s.5,.(556;5886
6584;Hei, olen kommentti.;2587
6585;-.4,56kom-m<entti5;4072
6586;par!si-ttu;-5819
6587;Hei, olen kommentti.;-5079
6588;¤%qwerty,.;-8785
6589;-.4,56kom-m<entti5;-1428
6590;¤%qwerty,.;8213
6591;par!si-ttu;-1334
6592;¤%qwerty,.;-4582
6593;,,s.5,.(556;3290
6594;<>!=();6079
6595;-.4,56kom-m<entti5;1052
6596;<>!=();4071
6597;-.4,56kom-m<entti5;-2577
6598;-.4,56kom-m<entti5;-2111
6599;¤%qwerty,.;1780
6600;Validi kommentti;-7518
6601;par!si-ttu;9146
6602;Validi kommentti;-6409
6603;Validi kommentti;5889
6604;Validi kommentti;-1019
6605;-.4,56kom-m<entti5;-3977
6606;Validi kommentti;-8594
6607;¤%qwerty,.;-1269
6608;<>!=();-37
6609;Validi kommentti;3630
6610;,,s.5,.(556;-7405
6611;¤%qwerty,.;-9934
6612;Hei, olen kommentti.;-4046
6613;¤%qwerty,.;1890
6614;<>!=();8817
6615;<>!=();-1213
6616;par!si-ttu;-66
6617;-.4,56kom-m<entti5;-6640
6618;¤%qwerty,.;372
6619;Validi kommentti;3952
6620;par!si-ttu;1365
6621;,,s.5,.(556;-7574
6622;<>!=();-4866
6623;par!si-ttu;-4899
6624;<>!=();3941
6625;<>!=();2053
6626;par!si-ttu;-7199
6627;<>!=();7995
6628;Hei, olen kommentti.;-2212
6629;,,s.5,.(556;-5369
6630;-.4,56kom-m<entti5;7153
6631;,,s.5,.(556;-5626
6632;par!si-ttu;-6432
6633;¤%qwerty,.;6903
6634;Hei, olen kommentti.;8722
6635;,,s.5,.(556;-6657
6636;-.4,56kom-m<entti5;7870
6637;Validi kommentti;-5347
6638;<>!=();4951
6639;par!si-ttu;-2028
6640;¤%qwerty,.;9230
6641;-.4,56kom-m<entti5;-9231
6642;Hei, olen kommentti.;-2745
6643;,,s.5,.(556;7825
6644;Validi kommentti;-7740
6645;par!si-ttu;-9546
6646;<>!=();683
6647;par!si-ttu;907
6648;Validi kommentti;180
6649;Validi kommentti;-3114
665;-.4,56kom-m<entti5;6707
6651;<>!=();-9786
6652;,,s.5,.(556;5864
6653;-.4,56kom-m<entti5;-2384
6654;<>!=();-1454
6655;Hei, olen kommentti.;1398
6656;par!si-ttu;8352
6657;,,s.5,.(556;-367
6658;<>!=();-9048
6659;¤%qwerty,.;-3189
6660;-.4,56kom-m<entti5;5945
6661;,,s.5,.(556;9485
6662;Validi kommentti;7505
6663;-.4,56kom-m<entti5;4985
6664;-.4,56kom-m<entti5;9780
6665;Hei, olen kommentti.;-1493
6666;,,s.5,.(556;-6695
6667;,,s.5,.(556;1915
6668;Hei, olen kommentti.;3905
6669;-.4,56kom-m<entti5;6794
6670;,,s.5,.(556;7046
6671;Validi kommentti;8609
6672;Hei, olen kommentti.;-8027
6673;<>!=();-6834
6674;Validi kommentti;-635
6675;Validi kommentti;-2496
6676;Validi kommentti;6713
6677;Hei, olen kommentti.;3381
6678;,,s.5,.(556;-4669
6679;,,s.5,.(556;6052
6680;-.4,56kom-m<entti5;-6621
6681;Hei, olen kommentti.;-5544
6682;-.4,56kom-m<entti5;3678
6683;¤%qwerty,.;7192
6684;¤%qwerty,.;2351
6685;-.4,56kom-m<entti5;241
6686;<>!=();-5254
6687;par!si-ttu;-9562
6688;Hei, olen kommentti.;-7683
6689;,,s.5,.(556;5956
6690;Validi kommentti;-2377
6691;¤%qwerty,.;-747
6692;-.4,56kom-m<entti5;8125
6693;-.4,56kom-m<entti5;-760
6694;par!si-ttu;-2530
6695;Validi kommentti;-4844
6696;-.4,56kom-m<entti5;-1340
6697;par!si-ttu;-6178
6698;Hei, olen kommentti.;-7987
6699;-.4,56kom-m<entti5;-2357
6700;¤%qwerty,.;-7254
6701;Hei, olen kommentti.;5658
6702;,,s.5,.(556;-1459
6703;,,s.5,.(556;5018
6704;Validi kommentti;757
6705;¤%qwerty,.;2887
6706;,,s.5,.(556;756
6707;par!si-ttu;2729
6708;<>!=();4560
6709;,,s.5,.(556;6920
6710;¤%qwerty,.;913
6711;Validi kommentti;5756
6712;par!si-ttu;-8828
6713;par!si-ttu;-5346
6714;par!si-ttu;5012
6715;Hei, olen kommentti.;3693
6716;Validi kommentti;774
6717;-.4,56kom-m<entti5;978
6718;-.4,56kom-m<entti5;-2875
6719;,,s.5,.(556;9494
6720;<>!=();-3026
6721;,,s.5,.(556;-7345
6722;<>!=();-1472
6723;par!si-ttu;-3736
6724;,,s.5,.(556;5780
6725;par!si-ttu;5996
6726;par!si-ttu;-3127
6727;,,s.5,.(556;-5249
6728;Hei, olen kommentti.;-4366
6729;Validi kommentti;-5083
6730;,,s.5,.(556;-800
6731;<>!=();-4640
6732;Hei, olen kommentti.;-2014
6733;,,s.5,.(556;-9291
6734;,,s.5,.(556;-4796
6735;par!si-ttu;7348
6736;Validi kommentti;3274
6737;,,s.5,.(556;2285
6738;¤%qwerty,.;3854
6739;,,s.5,.(556;-9950
6740;<>!=();-8180
6741;-.4,56kom-m<entti5;6917
6742;Validi kommentti;4552
6743;par!si-ttu;-5095
6744;Hei, olen kommentti.;620
6745;-.4,56kom-m<entti5;-5500
6746;Validi kommentti;1797
6747;Hei, olen kommentti.;-9496
6748;Hei, olen kommentti.;-8485
6749;par!si-ttu;-3418
6750;-.4,56kom-m<entti5;-7005
6751;Hei, olen kommentti.;6904
6752;Validi kommentti;7172
6753;,,s.5,.(556;457
6754;-.4,56kom-m<entti5;-9620
6755;<>!=();1090
6756;Hei, olen kommentti.;-517
6757;¤%qwerty,.;2461
6758;par!si-ttu;-7524
6759;¤%qwerty,.;629
6760;Validi kommentti;-3466
6761;Validi kommentti;-9536
6762;-.4,56kom-m<entti5;7648
6763;Hei, olen kommentti.;-832
6764;¤%qwerty,.;2729
6765;par!si-ttu;6306
6766;<>!=();6838
6767;par!si-ttu;-7496
6768;-.4,56kom-m<entti5;-4295
6769;,,s.5,.(556;-9800
6770;par!si-ttu;6873
6771;-.4,56kom-m<entti5;8375
6772;Hei, olen kommentti.;-8200
6773;¤%qwerty,.;9609
6774;Hei, olen kommentti.;-8870
6775;-.4,56kom-m<entti5;4606
6776;Hei, olen kommentti.;1094
6777;¤%qwerty,.;4898
6778;par!si-ttu;8475
6779;<>!=();-9496
6780;Hei, olen kommentti.;7464
6781;Hei, olen kommentti.;4849
6782;,,s.5,.(556;-9513
6783;,,s.5,.(556;8814
6784;Validi kommentti;-5979
6785;,,s.5,.(556;-7989
6786;,,s.5,.(556;9573
6787;¤%qwerty,.;3176
6788;Validi kommentti;2700
6789;par!si-ttu;-6478
6790;Validi kommentti;-928
6791;-.4,56kom-m<entti5;-64
6792;-.4,56kom-m<entti5;5369
6793;par!si-ttu;-7401
6794;-.4,56kom-m<entti5;1981
6795;Hei, olen kommentti.;-8192
6796;-.4,56kom-m<entti5;864
6797;Validi kommentti;6979
6798;Validi kommentti;-5008
6799;par!si-ttu;9750
6800;<>!=();-972
6801;<>!=();7222
6802;Validi kommentti;7286
6803;¤%qwerty,.;3722
6804;,,s.5,.(556;-9659
6805;-.4,56kom-m<entti5;-1074
6806;<>!=();9768
6807;,,s.5,.(556;-8032
6808;Hei, olen kommentti.;-5695
6809;¤%qwerty,.;8518
6810;¤%qwerty,.;2536
6811;<>!=();2431
6812;<>!=();-5709
6813;<>!=();-556
6814;Validi kommentti;9033
6815;,,s.5,.(556;-6493
6816;par!si-ttu;8991
6817;-.4,56kom-m<entti5;5127
6818;-.4,56kom-m<entti5;6240
6819;¤%qwerty,.;-7997
6820;Validi kommentti;7970
6821;Hei, olen kommentti.;6898
6822;Validi kommentti;-64
6823;,,s.5,.(556;7499
6824;-.4,56kom-m<entti5;7436
6825;<>!=();182
6826;<>!=();7191
6827;par!si-ttu;-6975
6828;,,s.5,.(556;2070
6829;par!si-ttu;5086
6830;Hei, olen kommentti.;-3202
6831;par!si-ttu;-7753
6832;,,s.5,.(556;2613
6833;-.4,56kom-m<entti5;5709
6834;-.4,56kom-m<entti5;9552
6835;Hei, olen kommentti.;-3479
6836;<>!=();-3524
6837;,,s.5,.(556;-3578
6838;,,s.5,.(556;-5739
6839;¤%qwerty,.;8653
6840;¤%qwerty,.;2953
6841;,,s.5,.(556;-5874
6842;par!si-ttu;-2784
6843;par!si-ttu;-7672
6844;Validi kommentti;-3855
6845;-.4,56kom-m<entti5;5177
6846;¤%qwerty,.;-8210
6847;Validi kommentti;-3092
6848;<>!=();9204
6849;<>!=();-6402
6850;Validi kommentti;8765
6851;Validi kommentti;5977
6852;-.4,56kom-m<entti5;-2522
6853;Validi kommentti;-7874
6854;,,s.5,.(556;-337
6855;,,s.5,.(556;4321
6856;-.4,56kom-m<entti5;-9750
6857;¤%qwerty,.;-8616
6858;Validi kommentti;3644
6859;¤%qwerty,.;842
6860;<>!=();2358
6861;-.4,56kom-m<entti5;3012
6862;<>!=();-1356
6863;-.4,56kom-m<entti5;4579
6864;,,s.5,.(556;-4592
6865;<>!=();-3121
6866;¤%qwerty,.;5630
6867;par!si-ttu;-7215
6868;Validi kommentti;-6177
6869;Validi kommentti;7176
6870;Hei, olen kommentti.;-1142
6871;¤%qwerty,.;-587
6872;Validi kommentti;4285
6873;<>!=();8183
6874;¤%qwerty,.;7549
6875;-.4,56kom-m<entti5;7287
6876;-.4,56kom-m<entti5;-304
6877;,,s.5,.(556;5473
6878;<>!=();6656
6879;-.4,56kom-m<entti5;-5760
6880;Hei, olen kommentti.;1283
6881;<>!=();5787
6882;,,s.5,.(556;-9374
6883;¤%qwerty,.;-2555
6884;Validi kommentti;7985
6885;-.4,56kom-m<entti5;6507
6886;<>!=();-8100
6887;<>!=();-1154
6888;Hei, olen kommentti.;-4843
6889;par!si-ttu;7435
6890;Hei, olen kommentti.;-3342
6891;¤%qwerty,.;-9393
6892;¤%qwerty,.;6665
6893;Hei, olen kommentti.;23
6894;par!si-ttu;395
6895;Hei, olen kommentti.;-2396
6896;,,s.5,.(556;2772
6897;Validi kommentti;240
6898;,,s.5,.(556;-636
6899;¤%qwerty,.;-7368
6900;Hei, olen kommentti.;-7754
6901;par!si-ttu;-2882
6902;Validi kommentti;7641
6903;-.4,56kom-m<entti5;-9484
6904;par!si-ttu;-9684
6905;-.4,56kom-m<entti5;-8523
6906;<>!=();1610
6907;-.4,56kom-m<entti5;7782
6908;,,s.5,.(556;-3066
6909;Validi kommentti;2801
6910;<>!=();-2024
6911;<>!=();1986
6912;<>!=();1555
6913;¤%qwerty,.;-9998
6914;-.4,56kom-m<entti5;-2472
6915;par!si-ttu;-377
6916;Validi kommentti;-939
6917;Hei, olen kommentti.;1632
6918;¤%qwerty,.;-2648
6919;Hei, olen kommentti.;-7023
6920;<>!=();626
6921;,,s.5,.(556;-618
6922;Validi kommentti;9091
6923;<>!=();-5352
6924;Hei, olen kommentti.;-1089
6925;Validi kommentti;9250
6926;¤%qwerty,.;5893
6927;Hei, olen kommentti.;-4386
6928;Validi kommentti;-7780
6929;¤%qwerty,.;-1622
6930;par!si-ttu;-8448
6931;,,s.5,.(556;-1707
6932;-.4,56kom-m<entti5;-5716
6933;-.4,56kom-m<entti5;2651
6934;Hei, olen kommentti.;1481
6935;par!si-ttu;-8619
6936;<>!=();-404
6937;<>!=();-6064
6938;par!si-ttu;4051
6939;Hei, olen kommentti.;-487
6940;<>!=();2201
6941;Validi kommentti;-5677
6942;Validi kommentti;-5117
6943;par!si-ttu;-2901
6944;par!si-ttu;-6035
6945;Hei, olen kommentti.;3365
6946;Hei, olen kommentti.;7448
6947;Hei, olen kommentti.;3378
6948;Hei, olen kommentti.;6821
6949;par!si-ttu;2380
6950;par!si-ttu;5559
6951;par!si-ttu;9835
6952;¤%qwerty,.;4108
6953;,,s.5,.(556;8431
6954;<>!=();-8197
6955;Hei, olen kommentti.;-4321
6956;Hei, olen kommentti.;-8559
6957;par!si-ttu;-3753
6958;Hei, olen kommentti.;-384
6959;par!si-ttu;9116
6960;,,s.5,.(556;3502
6961;<>!=();5977
6962;¤%qwerty,.;-1463
6963;,,s.5,.(556;-764
6964;,,s.5,.(556;5380
6965;par!si-ttu;9203
6966;Validi kommentti;5106
6967;<>!=();8449
6968;-.4,56kom-m<entti5;-3594
6969;¤%qwerty,.;76
6970;<>!=();7973
6971;¤%qwerty,.;8345
6972;,,s.5,.(556;-8041
6973;,,s.5,.(556;5765
6974;,,s.5,.(556;5661
6975;par!si-ttu;-9609
6976;<>!=();-5113
6977;par!si-ttu;8637
6978;-.4,56kom-m<entti5;-4972
6979;par!si-ttu;7021
6980;Hei, olen kommentti.;-8077
6981;Validi kommentti;2730
6982;¤%qwerty,.;5317
6983;,,s.5,.(556;-2930
6984;Validi kommentti;-7875
6985;<>!=();-2119
6986;¤%qwerty,.;3683
6987;par!si-ttu;9835
6988;,,s.5,.(556;7210
6989;¤%qwerty,.;8467
6990;par!si-ttu;6873
6991;par!si-ttu;-7859
6992;-.4,56kom-m<entti5;-2593
6993;-.4,56kom-m<entti5;4860
6994;,,s.5,.(556;-7110
6995;-.4,56kom-m<entti5;-2917
6996;<>!=();-7778
6997;Validi kommentti;-8756
6998;Validi kommentti;1084
6999;¤%qwerty,.;-2894
7000;Hei, olen kommentti.;3103
7001;<>!=();1733
7002;Hei, olen kommentti.;5348
7003;,,s.5,.(556;713
7004;-.4,56kom-m<entti5;-5337
7005;par!si-ttu;4387
7006;-.4,56kom-m<entti5;-942
7007;<>!=();381
7008;<>!=();-2258
7009;¤%qwerty,.;-2960
7010;Hei, olen kommentti.;-4870
7011;par!si-ttu;-4083
7012;¤%qwerty,.;4529
7013;Hei, olen kommentti.;-9629
7014;<>!=();-7536
7015;¤%qwerty,.;-9887
7016;Validi kommentti;700
7017;,,s.5,.(556;-7274
7018;-.4,56kom-m<entti5;9415
7019;<>!=();-2233
7020;Validi kommentti;845
7021;Validi kommentti;3684
7022;,,s.5,.(556;-4494
7023;¤%qwerty,.;9533
7024;¤%qwerty,.;-7290
7025;,,s.5,.(556;-297
7026;,,s.5,.(556;8393
7027;¤%qwerty,.;-4871
7028;Hei, olen kommentti.;-8417
7029;-.4,56kom-m<entti5;-4918
7030;Hei, olen kommentti.;-8376
7031;Validi kommentti;-1209
7032;,,s.5,.(556;-5901
7033;<>!=();1318
7034;<>!=();3945
7035;par!si-ttu;8480
7036;par!si-ttu;-8670
7037;Validi kommentti;7578
7038;<>!=();748
7039;par!si-ttu;-1079
7040;Validi kommentti;-168
7041;Validi kommentti;-4745
